category,date,header,news,order,shownews,urgent
Help needed,02-03-2025,Help needed for translating app,"Dear Users :) The next version wil include multiple languages :) We need people who want to help translate the app and/or check already translated text. We have the following languages till now in the new version English, Dutch, German, Greek, Spanish, French, Japanees and Chinees. Want to help please contact me, also to add new languages. 73 PD2EMC",99,false,true
Windows Test Release,22-12-2024,DMR User Database Windows (1.0.20241222) (134) getting ready for production :) *fixed windows installer**dont show older update news then today*,"Dear Testers :) want too play with the windows version check: https://drive.google.com/file/d/1phdBYsV0bFWFn_FGd5cigQKR5XkQFmrK/view?usp=drive_link if you get dll errors after starting the app, install the x86 or x64 dll's within the installer.",99,false,true
MacOS Test Release,22-12-2024,DMR User Database MacOS (1.0.20241222) (134) getting ready for production :) *fixed windows installer**dont show older update news then today*,Dear Testers :) want too play with a mac version check this link : https://drive.google.com/file/d/1cdYUKairqGOvbiEDEWqJF8Z5-yMmZwFb/view?usp=drive_link,99,false,true
Release,10-11-2025,DMR User Database (1.0.20251110) (166),"Removed HamShackHotline from search, Removed HamShackHotline from contact info, Fixed search button in Dark Mode, Fixed winner button color, Fixed winner page error that occurred in Debug, Fixed Apple version check, Fixed Apple share app link, Small other fixes",99,true,true
Database,12-01-2026,*New Database 12-01-2026 00:30*,A new database has been uploaded to Github. Update thru the database Settings Screen.,1,true,false
Database,12-01-2026,*New Database 12-01-2026 06:30*,A new database has been uploaded to Github. Update thru the database Settings Screen.,2,true,false
