callsign,comment,date
PD2EMC,Congrats to all Winners :),22-09-2024
PA3DFI,"Nice hunt Andy, thanks.",28-09-2024
OH5GLW,"Funny, not easy. An interesting way to learn and test the program! Well done!",12-10-2024
DO1BTW,"yes..!! you can run, but you can't hide 🦊 bastards. No it's a nice game to learn the app Andy",22-12-2024
PD1WP,Super App,12-01-2025
SY2CRI,"Hell Yeah !! Found them all, with a little help!",31-05-2025
